,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3873153,No,King,Kent,21,2022,August,1,1800,0,ZERO,0,2,516 route increasing milepost direction,3.57,U1,Urban,NW,Moving Straight,Decreasing milepost,REAR END COLLISIONS,NW,Stopped in Traffic - Legally Standing,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Freeways,Kent,Limited Access Partially Controlled,4,16,UNPROTECTED,48,10,,0,,55,Asphalt,28000,Y,Motor Vehicle Driver,None,None,Unknown,None,None,Unknown Distraction,None,None,Going Straight Ahead,None,None,None,None,None,None,None,Motor Vehicle Driver,46.0,Male,Lap & Shoulder Used,None,None,None,None,None,Stopped at Signal or Stop Sign,None,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3888061,No,King,Seattle,26,2022,August,6,100,0,ZERO,0,2,513 route increasing milepost direction,1.92,U1,Urban,N,Moving Straight,Entering major roadway from the right,REAR END COLLISIONS,N,Stopped in Traffic - Legally Standing,Entering major roadway from the right,NO APPARENT INJURY,,,At Intersection and Related,Dry,,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,0,,64,0,,0,,30,Asphalt,20000,N,Motor Vehicle Driver,16.0,Male,Lap & Shoulder Used,None,None,Follow Too Closely,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,Not Ejected,Motor Vehicle Driver,64.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Stopped at Signal or Stop Sign,No Defects,None,None,None,None,None,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3890592,No,King,Seattle,11,2022,August,5,1900,0,TWO,0,2,090 route increasing milepost direction,0.07,U1,Urban,S,Moving Straight,Increasing milepost,REAR END COLLISIONS,S,Moving Straight,Increasing milepost,POSSIBLE INJURY,,,Not at Intersection and Not Related,Dry,Daylight,Underpass or Tunnel,Within WorkZone,1,Other,Seattle,,4,0,,60,0,,0,R,0,Asphalt,0,N,Motor Vehicle Passenger,7.0,None,Lap Belt Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Passenger,9.0,Female,Lap Belt Used,None,DRE Not Requested,Under Influence of Alcohol,None,None,Going Straight Ahead,No Defects,None,None,None,None,Unknown,Not Ejected,Motor Vehicle Driver,33.0,Female,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3891692,No,Pend Oreille,Newport,15,2022,August,2,1100,0,ZERO,0,2,002 route increasing milepost direction,0.08,R1,Rural,S,Change Lanes to Right,Increasing milepost,SIDESWIPES_LEFT,S,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Rural 2 Lane Roads,Newport,Non Limited Access Least Restrictive,2,0,,42,0,,0,R,25,Asphalt,5000,N,Motor Vehicle Driver,62.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Follow Too Closely,None,"Vanette Under 10,000 lb",Changing Lanes,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,51.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Improper Turn/Merge,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3895845,No,King,Seattle,5,2022,August,6,0,0,ZERO,0,3,005 route increasing milepost direction,0.22,U2,Urban,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Other,Seattle,,2,0,,30,0,,0,,0,Asphalt,0,N,Motor Vehicle Driver,None,None,Unknown,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,35.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,56.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,None,"Legally Parked, Unoccupied",None,None,None,None,None,None,None
3897928,No,King,Seattle,18,2022,August,5,1700,0,TWO,0,2,522 route increasing milepost direction,3.21,U1,Urban,E,Passing on Right,Entering major roadway from the left,SIDESWIPES_LEFT,E,Turning Right,Entering major roadway from the left,POSSIBLE INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Divided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,10,CURB,64,0,,0,,25,Asphalt,35000,Y,Motor Vehicle Driver,56.0,Male,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Overtaking and Passing,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,29.0,Male,Unknown,None,None,None,None,None,Making Right Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,42.0,Male,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3898170,No,King,Seattle,8,2022,August,2,0,0,ZERO,0,1,522 route increasing milepost direction,3.34,U1,Urban,N,Moving Straight,Increasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Street Light Pole or Base,,At Intersection and Not Related,Dry,Dark-Street Lights On,,,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,72,0,,0,,25,Asphalt,35000,N,Motor Vehicle Driver,49.0,Male,Unknown,None,DRE Not Requested,Under Influence of Alcohol,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898252,No,King,Seattle,10,2022,August,4,2200,0,ZERO,0,2,522 route increasing milepost direction,1.6,U1,Urban,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Not Related,Dry,Dark-Street Lights On,,,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,5,0,,71,0,,0,,35,Asphalt,33000,N,Motor Vehicle Passenger,27.0,Female,Lap & Shoulder Used,Helmet Not Used,None,None,None,None,Other*,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,27.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,34.0,Male,Lap & Shoulder Used,Helmet Not Used,None,None,None,None,None,None,None,None,None,None,None,None
3898308,No,King,Seattle,24,2022,August,4,1700,0,THREE,0,2,522 route increasing milepost direction,2.14,U1,Urban,N,Turning Left,Increasing milepost,ANGLE IMPACTS_RIGHT,S,Moving Straight,Decreasing milepost,MINOR INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,56,0,,0,,35,Asphalt,34000,N,Motor Vehicle Passenger,13.0,Female,Lap & Shoulder Used,None,None,None,None,None,Making Left Turn,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,15.0,Female,Lap & Shoulder Used,None,DRE Requested and Assisted,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,48.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3898309,No,King,Seattle,25,2022,August,5,0,0,ZERO,0,1,005 route increasing milepost direction,0.03,U1,Urban,N,Turning Left,Entering major roadway from the right,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,UNKNOWN,Bridge Rail - Face,,Intersection Related but Not at Intersection,Dry,Dark-Street Lights Off,Bridge or Overpass,,0,Other,Seattle,,2,0,,28,0,,0,,0,Portland Concrete Cement,0,N,Motor Vehicle Driver,None,None,Unknown,None,None,Exceeding Stated Speed Limit,None,None,Making Left Turn,No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
