,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3841151,No,King,Bellevue,8,2022,December,5,1900,0,ZERO,0,2,405 route increasing milepost direction,0.31,U5,Urban,NE,Moving Straight,Increasing milepost,REAR END COLLISIONS,NE,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Wet,Dark-Street Lights On,Bridge or Overpass,,0,Urban Freeways Less than 4 Lanes,Bellevue,,1,0,,22,0,,0,,0,Portland Concrete Cement,0,N,Motor Vehicle Driver,None,None,Unknown,None,DRE Not Requested,Other Contributing Circ Not Listed,None,None,Going Straight Ahead,No Defects,None,None,None,None,Unknown,Unknown if Ejected,Motor Vehicle Driver,27.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Slowing,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3859023,No,King,Federal Way,4,2022,December,1,200,0,ZERO,0,1,005 route increasing milepost direction,0.22,U5,Urban,N,Moving Straight,Increasing milepost,OFF ROAD,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Roadway Ditch,,Not at Intersection and Not Related,Wet,Dark-No Street Lights,,,0,Urban Freeways Less than 4 Lanes,Federal Way,,1,0,,14,8,Asphalt,4,,0,Asphalt,0,N,Motor Vehicle Driver,21.0,Female,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3859024,No,King,Bothell,6,2022,December,3,600,0,ZERO,0,2,405 route increasing milepost direction,22.99,U5,Urban,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Urban Freeways,Bothell,Limited Access Fully Controlled,5,16,JERSEY TYPE BARRIER,60,10,,0,RC,60,Asphalt,142000,Y,Motor Vehicle Driver,28.0,Male,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,54.0,Male,Lap & Shoulder Used,None,None,Follow Too Closely,None,"Vanette Under 10,000 lb",Slowing,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3859025,No,King,Seattle,6,2022,December,3,900,0,ZERO,0,2,005 route increasing milepost direction,0.16,U5,Urban,N,Moving Straight,Increasing milepost,REAR END COLLISIONS,N,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Wet,Daylight,,,0,Urban Freeways Less than 4 Lanes,Seattle,,1,0,,14,8,Curb,0,,0,Asphalt,0,N,Motor Vehicle Driver,None,None,Unknown,None,DRE Not Requested,Unknown Distraction,Other Contributing Circ Not Listed,None,Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,23.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3859185,No,Island,,20,2022,December,3,700,0,ZERO,0,2,525 route increasing milepost direction,9.19,R1,Rural,SE,Moving Straight,Decreasing milepost,SIDESWIPES_LEFT,NW,Parked,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Snow/Slush,Daylight,,,0,Rural Multilane Undivided Non-Freeway,,Non Limited Access Less Restrictive,3,0,,36,0,,0,C,30,Asphalt,8400,N,Motor Vehicle Driver,40.0,Male,Lap & Shoulder Used,None,None,Exceeding Reas. Safe Speed,None,None,Going Straight Ahead,No Defects,None,None,None,2.0,Not Airbag Equipped,Not Ejected,Motor Vehicle Driver,46.0,Male,No Restraints Used,None,None,None,None,None,"Legally Parked, Occupied",No Defects,None,None,None,5.0,Not Airbag Equipped,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3870841,No,Pacific,Raymond,23,2022,December,6,2000,0,ZERO,0,2,101 route increasing milepost direction,58.49,R1,Rural,NE,Moving Straight,Increasing milepost,ANGLE IMPACTS_RIGHT,NW,Moving Straight,Entering major roadway from the right,NO APPARENT INJURY,,,Entering Roundabout,Wet,Dusk,,,0,Rural Freeways Less than 4 Lanes,Raymond,Limited Access Partially Controlled,2,15,UNPROTECTED,70,0,,0,,35,Asphalt,12000,Y,Motor Vehicle Driver,21.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Operating Defective Equipment,None,None,Slowing,None,Defective Headlights,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,77.0,Female,Lap & Shoulder Used,None,DRE Not Requested,Distractions Outside Vehicle,None,"Vanette Under 10,000 lb",Merging (Entering Traffic),None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,44.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3876782,No,King,Seattle,8,2022,December,5,1700,0,ONE,0,2,005 route increasing milepost direction,0.12,U5,Urban,SW,Moving Straight,Increasing milepost,REAR END COLLISIONS,SW,Moving Straight,Increasing milepost,POSSIBLE INJURY,,,Not at Intersection and Not Related,Wet,Dark-Street Lights On,Bridge or Overpass,,0,Urban Freeways Less than 4 Lanes,Seattle,,1,0,,21,0,Curb,0,,0,Portland Concrete Cement,0,N,Motor Vehicle Driver,34.0,Female,Lap & Shoulder Used,None,None,None,None,None,Negotiating a Curve,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,53.0,Female,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Negotiating a Curve,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3895103,No,King,Seattle,3,2022,December,7,1400,0,ONE,1,1,513 route increasing milepost direction,2.8,U1,Urban,SW,Turning Left,Decreasing milepost,PEDESTRIAN COLLISIONS,NE,Moving Straight,Unknown or Not Applicable,SERIOUS INJURY,,,At Intersection and Related,Wet,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,0,,53,0,,0,C,30,Portland Concrete Cement,16000,N,Motor Vehicle Driver,42.0,Female,Unknown,None,None,Did Not Grant R/W to Non Motorist,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Pedestrian,71.0,Male,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3895106,No,King,Seattle,7,2022,December,4,1800,0,ONE,0,2,522 route increasing milepost direction,3.47,U1,Urban,NE,Moving Straight,Increasing milepost,REAR END COLLISIONS,NE,Stopped in Traffic - Legally Standing,Increasing milepost,MINOR INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,In External Traffic Backup Ca,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,,30,Asphalt,35000,N,Motor Vehicle Driver,None,Female,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,None,None,None,None,None,None,None,Motor Vehicle Driver,26.0,Female,Lap & Shoulder Used,None,DRE Requested and Assisted,None,None,None,Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3895114,No,King,Seattle,15,2022,December,5,1800,0,ZERO,0,2,513 route increasing milepost direction,1.49,U1,Urban,W,Moving Straight,Decreasing milepost,REAR END COLLISIONS,W,Stopped in Traffic - Legally Standing,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,5,0,,75,0,,0,,30,Asphalt,38000,N,Motor Vehicle Driver,None,None,Unknown,None,None,Follow Too Closely,None,None,Going Straight Ahead,None,None,None,None,None,None,None,Motor Vehicle Driver,38.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,31.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
