,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3847949,No,King,Seattle,26,2022,February,7,2000,0,ZERO,0,2,005 route increasing milepost direction,0.11,U1,Urban,E,Moving Straight,Increasing milepost,REAR END COLLISIONS,E,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Wet,Dark-Street Lights On,Underpass or Tunnel,,0,Other,Seattle,,4,0,,68,0,,0,R,0,Asphalt,0,N,Motor Vehicle Passenger,19.0,Female,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,18.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Stopped at Signal or Stop Sign,No Defects,None,None,None,None,None,None,Motor Vehicle Passenger,28.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3850584,No,Skagit,Mount Vernon,25,2022,February,6,900,0,ZERO,0,2,538 route increasing milepost direction,0.6000000000000001,U2,Urban,S,Turning Right,Entering major roadway from the left,ANGLE IMPACTS_LEFT,W,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Mount Vernon,Non Limited Access Less Restrictive,4,0,,48,0,,0,C,35,Asphalt,27000,N,Motor Vehicle Driver,65.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Improper Turn/Merge,None,None,Starting in Traffic Lane,No Defects,None,None,None,None,Not Airbag Equipped,Not Ejected,Motor Vehicle Driver,66.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3873126,No,King,Kent,8,2022,February,3,2100,0,ZERO,0,2,516 route increasing milepost direction,5.77,U1,Urban,E,Turning Left,Entering major roadway from the left,ANGLE IMPACTS_LEFT,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Driveway within Major Intersection,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Kent,Non Limited Access Average Restriction,4,0,,57,0,,0,,30,Asphalt,19000,N,Motor Vehicle Driver,None,None,None,None,None,Unknown Distraction,None,None,Making Left Turn,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,40.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3875775,No,Okanogan,Omak,18,2022,February,6,2100,0,ZERO,0,2,215 route increasing milepost direction,6.0,U2,Urban,S,Moving Straight,Entering major roadway from the left,ANGLE IMPACTS_LEFT,W,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,28,0,,0,C,35,Asphalt,11000,N,Motor Vehicle Driver,56.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Starting in Traffic Lane,No Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,Motor Vehicle Driver,51.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3878184,No,Kittitas,Cle Elum,12,2022,February,7,2100,0,ZERO,0,2,903 route increasing milepost direction,2.34,R3,Rural,E,Moving Straight,Decreasing milepost,SIDESWIPES_LEFT,W,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Dark - Unknown Lightin,,,0,Rural 2 Lane Roads,Cle Elum,Non Limited Access Least Restrictive,2,0,,26,2,,0,,25,Asphalt,5800,N,Motor Vehicle Driver,57.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,52.0,Male,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,26.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3878206,No,Kittitas,Cle Elum,25,2022,February,6,1600,0,ZERO,0,2,903 route increasing milepost direction,1.82,R3,Rural,W,Moving Straight,Increasing milepost,REAR END COLLISIONS,W,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Rural 2 Lane Roads,Cle Elum,Non Limited Access Least Restrictive,2,0,,60,0,,0,C,25,Asphalt,6400,N,Motor Vehicle Driver,18.0,Male,Unknown,None,DRE Not Requested,Follow Too Closely,None,"Vanette Under 10,000 lb",Going Straight Ahead,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,47.0,Female,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,None,None,None,None,None,None,None,Motor Vehicle Driver,45.0,Male,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3890934,No,King,Seattle,24,2022,February,5,2100,0,ZERO,0,2,520 route increasing milepost direction,0.02,U1,Urban,S,Moving Straight,Increasing milepost,ANGLE IMPACTS_LEFT,E,Turning Left,Entering major roadway from the right,UNKNOWN,,,At Intersection and Related,Dry,Dark-Street Lights On,,Within WorkZone,0,Other,Seattle,,4,0,,76,0,,0,,0,Portland Concrete Cement,0,N,Motor Vehicle Driver,None,None,Unknown,None,None,Disregard Traffic Sign and Signals,None,None,Going Straight Ahead,None,None,None,None,None,None,None,Motor Vehicle Driver,26.0,Female,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Making Left Turn,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893678,No,King,Seattle,12,2022,February,7,1500,0,ZERO,1,1,522 route increasing milepost direction,3.47,U1,Urban,W,Turning Left,Entering major roadway from the left,PEDESTRIAN COLLISIONS,E,Moving Straight,Unknown or Not Applicable,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,,30,Asphalt,35000,N,Motor Vehicle Driver,19.0,Female,Lap & Shoulder Used,None,"DRE Requested, Not Available",Disregard Traffic Sign and Signals,Other Contributing Circ Not Listed,None,Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,19.0,Male,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None,Pedestrian,None,Male,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893805,No,King,Seattle,22,2022,February,3,1400,0,ONE,0,2,522 route increasing milepost direction,1.45,U1,Urban,S,Moving Straight,Decreasing milepost,HEAD ON COLLISIONS,N,Moving Straight,Increasing milepost,MINOR INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,53,0,,0,C,35,Asphalt,33000,N,Motor Vehicle Driver,28.0,Male,Lap & Shoulder Used,None,None,Distracted by Adjusting Vehicle Cntrls,None,"Vanette Under 10,000 lb",Going Straight Ahead,Other Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,Motor Vehicle Driver,76.0,Female,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898420,No,King,Seattle,5,2022,February,7,1800,0,ONE,1,1,005 route increasing milepost direction,0.78,U2,Urban,N,Turning Left,Decreasing milepost,PEDESTRIAN COLLISIONS,SE,Moving Straight,Unknown or Not Applicable,MINOR INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,,0,Other,Seattle,,2,0,,40,0,,0,,0,Asphalt,0,N,Motor Vehicle Driver,None,None,Unknown,None,None,Unknown Distraction,None,None,Making Left Turn,None,None,None,None,None,None,None,Pedestrian,91.0,Male,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898568,No,King,Seattle,7,2022,February,2,1100,0,ZERO,0,1,005 route increasing milepost direction,0.13,U5,Urban,NE,Moving Straight,Increasing milepost,OFF ROAD,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Over Embankment - No Guardrail Present,,Not at Intersection and Not Related,Wet,Daylight,,,0,Urban Freeways Less than 4 Lanes,Seattle,,1,0,,24,1,Asphalt,4,,0,Asphalt,0,N,Motor Vehicle Driver,35.0,Male,Unknown,None,None,Exceeding Reas. Safe Speed,Overcorrecting / Oversteering,None,Slowing,No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3900002,No,King,Seattle,5,2022,February,7,400,0,ONE,0,1,005 route increasing milepost direction,0.17,U5,Urban,NW,Moving Straight,Increasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,MINOR INJURY,Fence,,Not at Intersection and Not Related,Wet,Dark-Street Lights On,,,0,Urban Freeways Less than 4 Lanes,Seattle,,1,0,,21,0,Curb,0,,0,Portland Concrete Cement,0,N,Motor Vehicle Driver,37.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Apparently Asleep or Fatigued,None,Law Enforcement Vehicle,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
