,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3847009,No,Chelan,Wenatchee,6,2022,January,5,2200,0,ZERO,0,1,285 route increasing milepost direction,1.04,U1,Urban,SE,Moving Straight,Increasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Signal Pole,,At Intersection and Not Related,Snow/Slush,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Wenatchee,Non Limited Access Least Restrictive,3,0,,48,0,,0,,30,Asphalt,14000,N,Motor Vehicle Passenger,17.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,20.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3873764,No,Stevens,,23,2022,January,1,600,0,ZERO,0,2,395 route increasing milepost direction,237.49,R1,Rural,SE,Moving Straight,Decreasing milepost,ANGLE IMPACTS_LEFT,NW,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Wet,Dawn,,,0,Rural 2 Lane Roads,,Non Limited Access Average Restriction,2,0,,24,2,,0,,55,Asphalt,9300,N,Motor Vehicle Driver,19.0,Male,Lap & Shoulder Used,None,None,Apparently Asleep or Fatigued,Unknown Distraction,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,Motor Vehicle Driver,33.0,Male,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3878181,No,Kittitas,Roslyn,12,2022,January,4,2300,0,ZERO,0,2,903 route increasing milepost direction,4.68,R3,Rural,N,Moving Straight,Increasing milepost,FRONT END COLLISIONS,N,Parked,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Ice,Dark-No Street Lights,,,0,Rural 2 Lane Roads,Roslyn,Non Limited Access Least Restrictive,2,0,,24,6,,0,,35,Asphalt,5100,N,Motor Vehicle Driver,None,None,Unknown,None,DRE Not Requested,Other Contributing Circ Not Listed,None,None,Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,None,None,None,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb","Legally Parked, Unoccupied",No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3878183,No,Kittitas,Cle Elum,30,2022,January,1,1800,0,ZERO,0,2,903 route increasing milepost direction,2.68,R3,Rural,N,Moving Straight,Entering major roadway from the left,FRONT END COLLISIONS,W,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Snow/Slush,Dark-No Street Lights,,,0,Rural 2 Lane Roads,Cle Elum,Non Limited Access Least Restrictive,2,0,,32,2,,0,,25,Asphalt,5700,N,Motor Vehicle Driver,None,None,Unknown,None,DRE Not Requested,Did Not Grant RW to Vehicle,Improper Turn/Merge,None,Making Left Turn,None,None,None,None,None,None,None,Motor Vehicle Driver,16.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3878203,No,Kittitas,Cle Elum,10,2022,January,2,1100,0,ZERO,0,2,903 route increasing milepost direction,1.55,R3,Rural,N,Turning Right,Entering major roadway from the left,REAR END COLLISIONS,E,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Ice,Daylight,,,0,Rural 2 Lane Roads,Cle Elum,Non Limited Access Least Restrictive,2,0,,68,0,,0,,25,Asphalt,6400,N,Motor Vehicle Driver,68.0,Male,Unknown,None,DRE Not Requested,Did Not Grant RW to Vehicle,None,None,Making Right Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,62.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3897719,No,King,Seattle,30,2022,January,1,1700,0,ONE,0,1,005 route increasing milepost direction,0.11,U1,Urban,S,Moving Straight,Unknown or Not Applicable,PEDESTRIAN COLLISIONS,E,Moving Straight,Increasing milepost,POSSIBLE INJURY,,,At Intersection and Related,Wet,Dusk,,,0,Other,Seattle,,4,0,,60,0,,0,,0,Portland Concrete Cement,0,N,Pedestrian cyclist Driver,31.0,Female,None,Helmet Not Used,None,Did Not Grant RW to Vehicle,None,None,None,None,None,None,None,None,None,None,Motor Vehicle Driver,18.0,Female,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898558,No,King,Seattle,30,2022,January,1,1900,1,ZERO,1,1,513 route increasing milepost direction,1.36,U1,Urban,W,Moving Straight,Decreasing milepost,PEDESTRIAN COLLISIONS,S,Moving Straight,Entering major roadway from the left,FATAL,,,Not at Intersection and Not Related,Wet,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,6,0,,66,0,,0,C,30,Asphalt,38000,N,Motor Vehicle Driver,52.0,Female,Unknown,None,DRE Requested and Assisted,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Unknown,Not Ejected,Pedestrian,77.0,Male,None,None,None,Failure to Use Xwalk,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898964,No,King,Seattle,11,2022,January,3,1800,0,ZERO,0,1,099 route increasing milepost direction,1.67,U1,Urban,S,Moving Straight,Increasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Tunnel Wall / Barrier within Tunnel,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,Shopping Mall or Plaza,,0,Urban Freeways Less than 4 Lanes,Seattle,Limited Access Fully Controlled,2,0,,32,0,,0,,45,Portland Concrete Cement,17000,N,Motor Vehicle Driver,27.0,Male,Unknown,None,None,Other Contributing Circ Not Listed,None,None,Changing Lanes,Tires Punctured or Blown,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3899032,No,Clallam,Port Angeles,23,2022,January,1,100,0,ZERO,0,1,117 route increasing milepost direction,0.29,U2,Urban,SW,Turning Right,Decreasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,UNKNOWN,Street Light Pole or Base,,At Intersection and Related,Dry,Dark-Street Lights On,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Average Restriction,2,0,,24,4,,0,,40,Asphalt,5900,N,Motor Vehicle Driver,None,None,Unknown,None,None,Unknown Distraction,None,None,Making Right Turn,No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3899033,No,Clallam,Port Angeles,29,2022,January,7,1500,0,ZERO,0,2,101 route increasing milepost direction,247.55,U1,Urban,SE,Passing on Right,Increasing milepost,SIDESWIPES_RIGHT,SE,Change Lanes to Right,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,52,0,,0,,35,Asphalt,13000,N,Motor Vehicle Driver,32.0,Female,Lap & Shoulder Used,None,DRE Not Requested,Improper Passing,None,"Vanette Under 10,000 lb",Overtaking and Passing,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,16.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Changing Lanes,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
