,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3850650,No,Skagit,Mount Vernon,5,2022,July,3,1600,0,ZERO,0,3,536 route increasing milepost direction,5.34,U1,Urban,E,Moving Straight,Increasing milepost,SIDESWIPES_RIGHT,S,Turning Left,Entering major roadway from the left,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Mount Vernon,Limited Access Fully Controlled,4,0,,44,0,,0,,25,Asphalt,15000,N,Motor Vehicle Driver,50.0,Female,Lap & Shoulder Used,None,DRE Not Requested,Other Contributing Circ Not Listed,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,31.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,32.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected
3880278,No,Okanogan,Omak,1,2022,July,6,1400,0,ZERO,0,2,215 route increasing milepost direction,5.14,U2,Urban,N,Turning Left,Increasing milepost,ANGLE IMPACTS_LEFT,W,Moving Straight,Entering major roadway from the right,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,44,0,,0,C,25,Asphalt,10000,N,Motor Vehicle Driver,75.0,Female,Lap & Shoulder Used,None,None,Disregard Traffic Sign and Signals,None,None,Making Left Turn,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,59.0,Female,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3880284,No,Okanogan,Omak,13,2022,July,4,700,0,ONE,1,1,215 route increasing milepost direction,5.03,U2,Urban,S,Moving Straight,Decreasing milepost,PEDESTRIAN COLLISIONS,E,Moving Straight,Unknown or Not Applicable,MINOR INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,56,0,,0,,25,Asphalt,9200,N,Motor Vehicle Driver,37.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Pedestrian,20.0,Female,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3880285,No,Okanogan,Omak,14,2022,July,5,1600,0,ZERO,0,2,215 route increasing milepost direction,5.04,U2,Urban,N,Change Lanes to Right,Increasing milepost,SIDESWIPES_LEFT,N,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,56,0,,0,,25,Asphalt,9200,N,Motor Vehicle Driver,36.0,Female,Lap & Shoulder Used,Helmet Not Used,None,Improper Turn/Merge,None,None,Changing Lanes,Defective Brakes,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,43.0,Male,Lap & Shoulder Used,Helmet Not Used,None,None,None,None,Going Straight Ahead,None,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3890851,No,King,Seattle,13,2022,July,4,2100,0,ONE,1,1,090 route increasing milepost direction,0.12,U1,Urban,SE,Moving Straight,Increasing milepost,PEDESTRIAN COLLISIONS,W,Moving Straight,Unknown or Not Applicable,MINOR INJURY,,,At Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Other,Seattle,,4,0,,76,0,,0,,0,Asphalt,0,N,Motor Vehicle Driver,49.0,Female,Lap & Shoulder Used,None,"DRE Requested, Not Available",Unknown Distraction,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Pedestrian,None,Male,None,None,None,Failure to Use Xwalk,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3891688,No,Pend Oreille,Newport,8,2022,July,6,1200,0,ZERO,0,2,002 route increasing milepost direction,0.07,R1,Rural,W,Turning Left,Increasing milepost,SIDESWIPES_LEFT,W,Turning Left,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Rural Multilane Undivided Non-Freeway,Newport,Non Limited Access Least Restrictive,3,0,,48,0,,0,,25,Asphalt,7300,N,Motor Vehicle Driver,47.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,39.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Distractions Outside Vehicle,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893911,No,King,Seattle,10,2022,July,1,1900,0,ZERO,0,3,522 route increasing milepost direction,3.23,U1,Urban,SW,Moving Straight,Decreasing milepost,SIDESWIPES_LEFT,SW,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban Multilane Divided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,10,CURB,64,0,,0,,25,Asphalt,35000,Y,Motor Vehicle Driver,30.0,Male,Lap & Shoulder Used,None,DRE Requested and Assisted,Exceeding Reas. Safe Speed,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,45.0,Female,Lap & Shoulder Used,None,DRE Requested and Assisted,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,None,None,None,None,None,None,None,None,"Legally Parked, Unoccupied",None,None,None,None,None,None,None
3893952,No,King,Seattle,9,2022,July,7,1100,0,ZERO,0,3,005 route increasing milepost direction,0.07,U1,Urban,W,Moving Straight,Decreasing milepost,REAR END COLLISIONS,W,Stopped in Traffic - Legally Standing,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Other,Seattle,,4,0,,60,0,,0,,0,Portland Concrete Cement,0,N,Motor Vehicle Driver,24.0,Female,Lap & Shoulder Used,None,DRE Not Requested,Other Distractions,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,21.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,45.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected
3893954,No,King,Seattle,31,2022,July,1,600,0,ZERO,0,1,522 route increasing milepost direction,0.7000000000000001,U1,Urban,SW,Moving Straight,Decreasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Other Objects,,At Intersection and Not Related,Dry,Dawn,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,40,0,,0,,35,Asphalt,33000,N,Motor Vehicle Driver,32.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Other Contributing Circ Not Listed,None,"Vanette Under 10,000 lb",Other*,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898008,No,King,Seattle,6,2022,July,4,2100,0,ONE,0,1,513 route increasing milepost direction,0.34,U1,Urban,S,Moving Straight,Decreasing milepost,PEDALCYCLIST COLLISIONS,W,Moving Straight,Unknown or Not Applicable,POSSIBLE INJURY,,,At Intersection and Related,Wet,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access More Than Average Restriction,4,0,,69,0,,0,,30,Asphalt,54000,N,Motor Vehicle Driver,None,None,Unknown,None,None,Did Not Grant R/W to Non Motorist,Disregard Flagger / Officer,None,Going Straight Ahead,None,None,None,None,None,None,None,Pedestrian cyclist Driver,21.0,Female,None,Other,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898009,No,King,Seattle,28,2022,July,5,100,0,ONE,1,1,522 route increasing milepost direction,0.8200000000000001,U1,Urban,SW,Moving Straight,Decreasing milepost,PEDESTRIAN COLLISIONS,S,Moving Straight,Entering major roadway from the left,SERIOUS INJURY,,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,40,0,,0,,35,Asphalt,33000,N,Motor Vehicle Driver,40.0,Male,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,None,None,None,None,None,Not Airbag Equipped,Not Ejected,Pedestrian,49.0,Male,None,None,None,Failure to Use Xwalk,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898136,No,King,Seattle,18,2022,July,2,2200,0,ONE,0,4,513 route increasing milepost direction,1.52,U1,Urban,W,Moving Straight,Decreasing milepost,SIDESWIPES_LEFT,W,Moving Straight,Decreasing milepost,POSSIBLE INJURY,,,At Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,5,0,,75,0,,0,,30,Asphalt,38000,N,Motor Vehicle Driver,19.0,Male,Unknown,Helmet Not Used,"DRE Requested, Not Available",Under Influence of Drugs,None,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,Motor Vehicle Driver,21.0,Male,Unknown,Helmet Not Used,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,22.0,Female,Unknown,Helmet Not Used,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Airbag Equipped,Not Ejected
3898152,No,King,Seattle,18,2022,July,2,700,0,ZERO,0,2,513 route increasing milepost direction,2.1,U1,Urban,E,Turning Left,Entering major roadway from the left,ANGLE IMPACTS_RIGHT,SW,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,0,,57,0,,0,C,30,Portland Concrete Cement,20000,N,Motor Vehicle Driver,25.0,Male,Lap & Shoulder Used,None,None,Did Not Grant RW to Vehicle,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,41.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Side Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898159,No,King,Seattle,21,2022,July,5,1800,0,ZERO,0,3,522 route increasing milepost direction,2.66,U1,Urban,N,Turning Left,Increasing milepost,ANGLE IMPACTS_LEFT,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,R,35,Asphalt,36000,N,Motor Vehicle Driver,33.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Disregard Traffic Sign and Signals,None,None,Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,19.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Disregard Traffic Sign and Signals,None,None,Going Straight Ahead,No Defects,None,None,None,None,Side Airbag Deployed,Not Ejected,Motor Vehicle Passenger,19.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected
3899076,No,Clallam,Port Angeles,23,2022,July,7,1100,0,TWO,0,2,101 route increasing milepost direction,247.11,U1,Urban,NE,Moving Straight,Increasing milepost,FRONT END COLLISIONS,NW,Moving Straight,Entering major roadway from the right,MINOR INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,50,0,,0,,25,Asphalt,7800,N,Motor Vehicle Driver,22.0,Male,Unknown,None,DRE Not Requested,Exceeding Stated Speed Limit,Did Not Grant RW to Vehicle,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,Motor Vehicle Driver,66.0,Female,Unknown,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3899077,No,Clallam,Port Angeles,18,2022,July,2,1700,0,ZERO,0,2,101 route increasing milepost direction,246.4,U1,Urban,N,Turning Left,Entering major roadway from the right,ANGLE IMPACTS_LEFT,E,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Driveway within Major Intersection,Dry,Daylight,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,38,0,,0,C,25,Asphalt,11000,N,Motor Vehicle Driver,16.0,Female,Lap & Shoulder Used,None,None,None,None,None,Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,9.0,Male,Child Restraint Forward Facing,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,39.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3899158,No,Clallam,Port Angeles,11,2022,July,2,1500,0,ZERO,0,2,101 route increasing milepost direction,0.4,U1,Urban,NW,Moving Straight,Increasing milepost,REAR END COLLISIONS,NW,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,40,0,,0,,35,Asphalt,15000,N,Motor Vehicle Driver,84.0,Male,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Going Straight Ahead,Defective Brakes,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,41.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3899161,No,Clallam,Port Angeles,20,2022,July,4,1500,0,ONE,0,3,101 route increasing milepost direction,248.47,U1,Urban,SE,Moving Straight,Increasing milepost,REAR END COLLISIONS,SE,Stopped in Traffic - Legally Standing,Increasing milepost,SERIOUS INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,,,1,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,52,0,,0,,35,Asphalt,18000,N,Motor Vehicle Driver,52.0,Female,Unknown,None,DRE Not Requested,Under Influence of Alcohol,None,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,Motor Vehicle Passenger,None,Male,Child Restraint Forward Facing,None,None,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,28.0,Female,Unknown,None,None,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected
3900202,No,King,Seattle,18,2022,July,2,2300,0,ONE,0,3,519 route increasing milepost direction,0.65,U1,Urban,S,Moving Straight,Entering major roadway from the right,SIDESWIPES_RIGHT,S,Moving Straight,Entering major roadway from the right,SERIOUS INJURY,,,At Intersection and Not Related,Dry,Dark-Street Lights On,,Within WorkZone,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Least Restrictive,4,0,,61,0,,0,,30,Asphalt,31000,N,Motor Vehicle Driver,34.0,Female,Lap & Shoulder Used,None,None,Under Influence of Alcohol,Exceeding Stated Speed Limit,None,Going Straight Ahead,No Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,Motor Vehicle Driver,38.0,Male,Unknown,None,None,Unknown Distraction,Other Distractions,None,Going Straight Ahead,No Defects,None,None,None,None,None,Not Ejected,Motor Vehicle Driver,30.0,Male,Unknown,None,None,None,None,None,Making Right Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected
3903627,No,Chelan,,12,2022,July,3,600,0,ONE,0,1,150 route increasing milepost direction,2.64,U2,Urban,NW,Moving Straight,Decreasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,MINOR INJURY,Rock Bank or Ledge,,Not at Intersection and Not Related,Dry,Dawn,,,0,Urban 2 Lane Roads,,Non Limited Access Average Restriction,2,0,,22,6,,0,,45,Asphalt,7700,N,Motor Vehicle Driver,54.0,Male,Lap & Shoulder Used,None,None,Unknown Distraction,None,"Vanette Under 10,000 lb",Negotiating a Curve,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
