,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3850430,No,Skagit,Mount Vernon,9,2022,June,5,1800,0,ZERO,0,2,538 route increasing milepost direction,1.51,U2,Urban,N,Turning Left,Entering major roadway from the right,ANGLE IMPACTS_LEFT,E,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Wet,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Mount Vernon,Non Limited Access Less Restrictive,4,0,,48,0,,0,C,35,Asphalt,16000,N,Motor Vehicle Driver,32.0,Female,Lap & Shoulder Used,None,DRE Not Requested,Did Not Grant RW to Vehicle,None,None,Merging (Entering Traffic),No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,5.0,Male,Child Restraint Forward Facing,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,24.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3859012,No,King,Bellevue,7,2022,June,3,700,0,ZERO,0,2,405 route increasing milepost direction,15.36,U5,Urban,N,Change Lanes to Right,Increasing milepost,SIDESWIPES_LEFT,N,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Not Related,Dry,Daylight,,,0,Urban Freeways,Bellevue,Limited Access Fully Controlled,6,16,JERSEY TYPE BARRIER,72,10,,0,RC,60,Portland Concrete Cement,128000,Y,Motor Vehicle Driver,21.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Other Contributing Circ Not Listed,Operating Defective Equipment,"Van over 10,001 lb",Changing Lanes,Other Defects,None,None,None,None,Not Airbag Equipped,Not Ejected,Motor Vehicle Passenger,None,None,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,33.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3871018,No,Adams,,13,2022,June,2,700,0,ZERO,0,2,261 route increasing milepost direction,62.57,R3,Rural,W,Moving Straight,Entering major roadway from the right,ANGLE IMPACTS_RIGHT,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Wet,Daylight,,,0,Rural 2 Lane Roads,,Limited Access Fully Controlled,2,0,,24,8,,0,,35,Asphalt,6300,N,Motor Vehicle Driver,37.0,Male,Unknown,None,None,Did Not Grant RW to Vehicle,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,35.0,Male,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,31.0,Male,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3878189,No,Kittitas,Cle Elum,2,2022,June,5,600,0,ONE,0,2,903 route increasing milepost direction,0.8200000000000001,R3,Rural,N,Turning Left,Entering major roadway from the left,ANGLE IMPACTS_RIGHT,E,Moving Straight,Decreasing milepost,POSSIBLE INJURY,,,At Driveway,Dry,Daylight,,,0,Rural 2 Lane Roads,Cle Elum,Non Limited Access Least Restrictive,2,0,,24,8,,0,,30,Asphalt,6000,N,Motor Vehicle Driver,25.0,Male,Lap & Shoulder Used,None,None,Did Not Grant RW to Vehicle,None,None,Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,69.0,Male,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Airbag Equipped,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3878191,No,Kittitas,Cle Elum,19,2022,June,1,1800,0,ZERO,0,2,903 route increasing milepost direction,1.69,R3,Rural,S,Turning Right,Entering major roadway from the right,ANGLE IMPACTS_LEFT,W,Parked,Increasing milepost,NO APPARENT INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,,,0,Rural 2 Lane Roads,Cle Elum,Non Limited Access Least Restrictive,2,0,,52,0,,0,C,25,Asphalt,6400,N,Motor Vehicle Driver,56.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Exceeding Stated Speed Limit,Operating Recklessly or Aggressively,None,Making Right Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,None,None,None,None,None,None,None,None,"Legally Parked, Unoccupied",No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3884402,No,Stevens,Kettle Falls,2,2022,June,5,1700,0,ZERO,0,2,395 route increasing milepost direction,242.96,R1,Rural,E,Moving Straight,Decreasing milepost,REAR END COLLISIONS,E,Stopped in Traffic - Legally Standing,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Rural 2 Lane Roads,Kettle Falls,Non Limited Access Least Restrictive,2,0,,44,0,,0,,35,Asphalt,8100,N,Motor Vehicle Driver,32.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Exceeding Stated Speed Limit,Follow Too Closely,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,26.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,44.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3888058,No,King,Seattle,24,2022,June,6,800,0,ZERO,0,2,522 route increasing milepost direction,0.79,U1,Urban,SW,Moving Straight,Decreasing milepost,REAR END COLLISIONS,SW,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,40,0,,0,,35,Asphalt,33000,N,Motor Vehicle Passenger,2.0,Female,Child Restraint Forward Facing,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,34.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Slowing,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,8.0,Female,Child Restraint Forward Facing,None,None,None,None,None,None,None,None,None,None,None,None,None
3888148,No,King,Seattle,25,2022,June,7,800,0,TWO,0,2,522 route increasing milepost direction,1.6,U1,Urban,N,Moving Straight,Increasing milepost,REAR END COLLISIONS,N,Stopped in Traffic - Legally Standing,Increasing milepost,MINOR INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,5,0,,71,0,,0,,35,Asphalt,33000,N,Motor Vehicle Driver,35.0,Male,Lap & Shoulder Used,None,None,Exceeding Reas. Safe Speed,Operating Recklessly or Aggressively,None,Going Straight Ahead,No Defects,None,None,None,None,Not Airbag Equipped,Not Ejected,Motor Vehicle Driver,62.0,Male,Lap & Shoulder Used,None,None,None,None,None,Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Airbag Equipped,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3890830,No,King,Seattle,26,2022,June,1,300,0,ZERO,0,2,520 route increasing milepost direction,0.02,U1,Urban,NE,Moving Straight,Entering major roadway from the right,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,"Temporary Traffic Sign, Barricade or Construction Materi",,At Intersection and Related,Dry,Daylight,Other,Within WorkZone,0,Other,Seattle,,4,0,,76,0,,0,,0,Portland Concrete Cement,0,N,Motor Vehicle Driver,22.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Apparently Asleep or Fatigued,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,52.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,"Vanette Under 10,000 lb","Legally Parked, Occupied",No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893747,No,King,Seattle,5,2022,June,1,1700,0,ZERO,0,1,522 route increasing milepost direction,1.9000000000000001,U1,Urban,NE,Moving Straight,Increasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Tree or Stump (stationary),,Not at Intersection and Not Related,Dry,Daylight,Other,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,56,0,,0,C,35,Asphalt,34000,N,Motor Vehicle Driver,43.0,Male,Unknown,None,"DRE Requested, Not Available",Under Influence of Drugs,None,None,Going Straight Ahead,No Defects,None,None,None,None,Unknown,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
