,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3854732,No,King,Seattle,10,2022,March,5,1500,0,ZERO,0,2,523 route increasing milepost direction,0.05,U1,Urban,S,Turning Left,Entering major roadway from the left,ANGLE IMPACTS_LEFT,E,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Driveway within Major Intersection,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,68,0,,0,,35,Asphalt,23000,N,Motor Vehicle Driver,None,None,Unknown,None,None,Did Not Grant RW to Vehicle,Improper Turn/Merge,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,34.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3859005,No,King,Kent,14,2022,March,2,1700,0,ZERO,0,2,167 route increasing milepost direction,24.28,U1,Urban,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Wet,Daylight,,,0,Urban Freeways,Kent,Limited Access Fully Controlled,4,18,JERSEY TYPE BARRIER,46,10,,0,RC,60,Asphalt,123000,Y,Motor Vehicle Driver,41.0,Male,Lap & Shoulder Used,None,None,Unknown Distraction,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,None,None,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Unknown,Unknown if Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3866528,No,Pierce,,1,2022,March,3,0,0,ONE,0,1,410 route increasing milepost direction,35.96,R2,Rural,SW,Moving Straight,Entering major roadway from the left,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,POSSIBLE INJURY,Fence,,At Intersection and Related,Snow/Slush,Unknown,,,0,Rural 2 Lane Roads,,Non Limited Access Average Restriction,2,0,,22,4,,0,,55,Asphalt,2000,N,Motor Vehicle Driver,32.0,Male,Unknown,None,None,Exceeding Reas. Safe Speed,Disregard Traffic Sign and Signals,None,Going Straight Ahead,None,None,None,None,None,Front Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3870836,No,Pacific,Raymond,7,2022,March,2,1600,0,THREE,0,3,101 route increasing milepost direction,58.6,R1,Rural,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Stopped in Traffic - Legally Standing,Decreasing milepost,POSSIBLE INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,,,0,Rural Freeways,Raymond,Limited Access Partially Controlled,4,16,UNPROTECTED,70,0,,0,,35,Asphalt,10000,Y,Motor Vehicle Driver,32.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Unknown Distraction,None,None,Going Straight Ahead,"Other Lights, Reflectors Insufficient",None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,48.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,None,Female,Lap & Shoulder Used,None,None,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,None,None
3875747,No,Okanogan,Omak,18,2022,March,6,2000,0,ONE,0,2,215 route increasing milepost direction,6.12,U2,Urban,S,Turning Right,Entering major roadway from the left,ANGLE IMPACTS_LEFT,E,Moving Straight,Increasing milepost,MINOR INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,,1,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,28,0,,0,C,35,Asphalt,9800,N,Motor Vehicle Driver,29.0,Male,No Restraints Used,Helmet Not Used,DRE Not Requested,Under Influence of Alcohol,None,"Vanette Under 10,000 lb",Making Left Turn,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,38.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,None,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3879044,No,Spokane,,6,2022,March,1,1000,0,ZERO,0,2,290 route increasing milepost direction,14.58,U2,Urban,N,Moving Straight,Entering major roadway from the right,REAR END COLLISIONS,N,Stopped in Traffic - Legally Standing,Entering major roadway from the right,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,,Non Limited Access More Than Average Restriction,2,0,,24,4,,0,,55,Asphalt,14000,N,Motor Vehicle Driver,None,None,Unknown,None,None,Did Not Grant RW to Vehicle,Improper Turn/Merge,None,Other*,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,70.0,Male,Lap & Shoulder Used,None,None,None,None,None,Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893787,No,King,Seattle,9,2022,March,4,1900,0,ZERO,0,2,522 route increasing milepost direction,2.66,U1,Urban,S,Turning Left,Decreasing milepost,FRONT END COLLISIONS,N,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,R,35,Asphalt,36000,N,Motor Vehicle Driver,49.0,Male,Unknown,None,DRE Not Requested,Under Influence of Alcohol,Improper Turn/Merge,None,Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,28.0,Female,Lap & Shoulder Used,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,29.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3893826,No,King,Seattle,13,2022,March,1,400,0,ZERO,0,2,522 route increasing milepost direction,3.47,U1,Urban,S,Making U-Turn,Unknown or Not Applicable,ANGLE IMPACTS_RIGHT,N,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,,30,Asphalt,35000,N,Motor Vehicle Driver,50.0,Male,Lap & Shoulder Used,None,None,Other Contributing Circ Not Listed,None,Law Enforcement Vehicle,Making U-Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,19.0,Female,Lap Belt Used,None,None,Did Not Grant RW to Vehicle,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3894104,No,King,Seattle,22,2022,March,3,600,0,ZERO,0,3,513 route increasing milepost direction,0.21,U1,Urban,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Wet,Dawn,Bridge or Overpass,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access More Than Average Restriction,4,0,,40,0,,0,,30,Other,54000,N,Motor Vehicle Driver,23.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Other Contributing Circ Not Listed,None,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,Motor Vehicle Driver,36.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Slowing,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,49.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected
3897813,No,King,Seattle,11,2022,March,6,2200,0,ONE,2,5,522 route increasing milepost direction,3.48,U1,Urban,S,Moving Straight,Decreasing milepost,SIDESWIPES_LEFT,S,Moving Straight,Decreasing milepost,SERIOUS INJURY,,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,,,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,R,35,Asphalt,35000,N,Motor Vehicle Driver,19.0,Male,Unknown,Helmet Not Used,DRE Not Requested,Under Influence of Alcohol,Under Influence of Drugs,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,Motor Vehicle Driver,32.0,Female,Lap & Shoulder Used,Helmet Not Used,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Unknown,Not Ejected,Motor Vehicle Driver,None,None,None,None,None,None,None,None,"Legally Parked, Unoccupied",No Defects,None,None,None,None,None,None
