,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3836075,No,King,Seattle,1,2022,May,1,1500,0,ONE,0,2,513 route increasing milepost direction,2.54,U1,Urban,W,Moving Straight,Decreasing milepost,ANGLE IMPACTS_RIGHT,E,Turning Left,Increasing milepost,MINOR INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,0,,64,12,,0,,30,Portland Concrete Cement,20000,N,Motor Vehicle Driver,18.0,Male,Lap & Shoulder Used,None,None,Disregard Traffic Sign and Signals,None,None,Going Straight Ahead,None,None,None,None,None,Front Airbag Deployed,None,Motor Vehicle Passenger,30.0,Male,Lap & Shoulder Used,Helmet Not Used,None,None,None,"Vanette Under 10,000 lb",Making Left Turn,None,None,None,None,None,None,None,Motor Vehicle Driver,34.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3837417,No,Clallam,Port Angeles,14,2022,May,7,1600,0,ZERO,0,2,101 route increasing milepost direction,247.18,U1,Urban,NE,Moving Straight,Increasing milepost,REAR END COLLISIONS,NE,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,50,0,,0,,25,Asphalt,7800,N,Motor Vehicle Driver,64.0,Male,No Restraints Used,DOT Compliant Motorcycle Helmet,None,Follow Too Closely,Operating Defective Equipment,None,Going Straight Ahead,Other Defects,None,None,None,None,Not Airbag Equipped,Not Ejected,Motor Vehicle Driver,55.0,Male,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3837418,No,Clallam,Port Angeles,21,2022,May,7,1700,0,ZERO,0,2,101 route increasing milepost direction,1.59,U1,Urban,NW,Moving Straight,Increasing milepost,REAR END COLLISIONS,NW,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,40,0,,0,,35,Asphalt,12000,N,Motor Vehicle Driver,64.0,Female,Unknown,None,None,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,75.0,Male,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,3.0,Male,Child Restraint Forward Facing,None,None,None,None,None,None,None,None,None,None,None,None,None
3859009,No,King,Seattle,20,2022,May,6,1300,0,ZERO,0,2,520 route increasing milepost direction,0.22,U1,Urban,E,Moving Straight,Increasing milepost,REAR END COLLISIONS,E,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,Intersection Related but Not at Intersection,Wet,Dawn,,,0,Urban Freeways Less than 4 Lanes,Seattle,,2,0,,24,0,Curb,0,,0,Asphalt,0,N,Motor Vehicle Driver,27.0,Male,Lap & Shoulder Used,None,None,Exceeding Stated Speed Limit,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,30.0,Female,Lap & Shoulder Used,None,None,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,35.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3870838,No,Pacific,Raymond,21,2022,May,7,1400,0,ONE,0,2,101 route increasing milepost direction,58.49,R1,Rural,N,Moving Straight,Increasing milepost,ANGLE IMPACTS_LEFT,W,Turning Right,Entering major roadway from the right,POSSIBLE INJURY,,,Entering Roundabout,Dry,Daylight,,,0,Rural Freeways Less than 4 Lanes,Raymond,Limited Access Partially Controlled,2,15,UNPROTECTED,70,0,,0,,35,Asphalt,12000,Y,Motor Vehicle Driver,60.0,Female,Unknown,None,DRE Not Requested,Unknown Distraction,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,27.0,Male,No Restraints Used,Helmet Used,DRE Not Requested,Unknown Distraction,None,None,Making Right Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3875748,No,Okanogan,Omak,8,2022,May,1,900,0,ZERO,0,2,215 route increasing milepost direction,5.13,U2,Urban,N,Moving Straight,Increasing milepost,REAR END COLLISIONS,N,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,44,0,,0,C,25,Asphalt,10000,N,Motor Vehicle Driver,30.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,52.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Stopped in Roadway,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3875871,No,Pend Oreille,Newport,2,2022,May,2,1200,0,ZERO,0,2,002 route increasing milepost direction,0.21,R1,Rural,S,Turning Left,Increasing milepost,ANGLE IMPACTS_RIGHT,S,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Rural 2 Lane Roads,Newport,Non Limited Access Least Restrictive,2,0,,42,0,,0,R,25,Asphalt,5000,N,Motor Vehicle Driver,55.0,Female,Lap & Shoulder Used,None,None,Improper Turn/Merge,None,"Vanette Under 10,000 lb",Making Left Turn,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,57.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,None,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3878188,No,Kittitas,,10,2022,May,3,1600,0,ONE,0,2,903 route increasing milepost direction,2.94,R3,Rural,NW,Moving Straight,Increasing milepost,REAR END COLLISIONS,NW,Stopped in Traffic - Legally Standing,Increasing milepost,POSSIBLE INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Rural 2 Lane Roads,,Non Limited Access Less Restrictive,2,0,,24,8,,0,,25,Asphalt,5700,N,Motor Vehicle Driver,16.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Airbag Equipped,Not Ejected,Motor Vehicle Driver,47.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3884316,No,Whatcom,Bellingham,3,2022,May,3,600,0,ZERO,0,1,539 route increasing milepost direction,0.47000000000000003,U1,Urban,W,Turning Left,Entering major roadway from the left,OFF ROAD,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Roadway Ditch,,Intersection Related but Not at Intersection,Wet,Daylight,,,0,Urban Multilane Divided Non-Freeway,Bellingham,Non Limited Access Average Restriction,4,1,CURB,57,0,,0,,35,Asphalt,35000,Y,Motor Vehicle Driver,27.0,Female,Unknown,None,DRE Not Requested,Other Contributing Circ Not Listed,None,None,Making Left Turn,No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3890738,No,King,Seattle,16,2022,May,2,0,0,ONE,0,3,090 route increasing milepost direction,0.03,U5,Urban,S,Moving Straight,Increasing milepost,REAR END COLLISIONS,S,Stopped in Traffic - Legally Standing,Increasing milepost,MINOR INJURY,,,Not at Intersection and Not Related,Wet,Dark - Unknown Lightin,,,0,Urban Freeways Less than 4 Lanes,Seattle,,1,0,,12,7,Asphalt,6,,0,Asphalt,0,N,Motor Vehicle Driver,43.0,Female,Lap & Shoulder Used,None,DRE Not Requested,Follow Too Closely,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,None,Male,Lap & Shoulder Used,None,None,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,24.0,Female,Lap & Shoulder Used,None,None,None,None,None,Stopped in Roadway,None,None,None,None,None,Not Deployed,Not Ejected
3893760,No,King,Seattle,13,2022,May,6,1900,0,ZERO,0,2,513 route increasing milepost direction,2.62,U1,Urban,SW,Moving Straight,Decreasing milepost,REAR END COLLISIONS,SW,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,0,,49,12,,0,C,30,Portland Concrete Cement,20000,N,Motor Vehicle Driver,17.0,Male,Lap & Shoulder Used,None,None,Unknown Distraction,None,"Vanette Under 10,000 lb",Going Straight Ahead,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,48.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Starting in Traffic Lane,None,None,None,None,None,Not Deployed,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893857,No,King,Seattle,23,2022,May,2,1200,0,ZERO,0,2,522 route increasing milepost direction,0.55,U1,Urban,NE,Change Lanes to Right,Increasing milepost,SIDESWIPES_LEFT,NE,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Divided Non-Freeway,Seattle,Limited Access Fully Controlled,4,8,GUARD RAIL,69,0,Curb,0,,35,Portland Concrete Cement,32000,Y,Motor Vehicle Driver,69.0,Female,Lap & Shoulder Used,None,None,Did Not Grant RW to Vehicle,None,None,Changing Lanes,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,55.0,Male,Lap & Shoulder Used,None,None,None,None,Trailer - Utility,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893858,No,King,Seattle,24,2022,May,3,1800,0,ZERO,0,2,005 route increasing milepost direction,0.33,U5,Urban,N,Unknown or Not Applicable,Increasing milepost,ANGLE IMPACTS_RIGHT,N,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban Freeways Less than 4 Lanes,Seattle,,2,0,,24,8,Asphalt,3,,0,Asphalt,0,N,Motor Vehicle Driver,None,None,Unknown,None,DRE Not Requested,Other Contributing Circ Not Listed,None,None,Backing,None,None,None,None,None,None,None,Motor Vehicle Driver,24.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,None,Stopped for Traffic,Power Failure,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,27.0,Male,Lap & Shoulder Used,Helmet Not Used,None,None,None,None,None,None,None,None,None,None,None,None
