,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3834502,No,King,Seattle,8,2022,November,3,1000,0,ZERO,0,2,099 route increasing milepost direction,1.56,U1,Urban,N,Change Lanes to Left,Increasing milepost,REAR END COLLISIONS,N,Passing on Left,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,Underpass or Tunnel,,0,Urban Freeways Less than 4 Lanes,Seattle,Limited Access Fully Controlled,2,0,,32,0,,0,,45,Portland Concrete Cement,17000,N,Motor Vehicle Driver,19.0,None,Lap & Shoulder Used,None,None,Did Not Grant RW to Vehicle,None,None,Changing Lanes,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,51.0,Male,None,DOT Compliant Motorcycle Helmet,None,None,None,Law Enforcement Vehicle,Overtaking and Passing,No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3836138,No,King,Seattle,18,2022,November,6,900,0,ZERO,0,2,513 route increasing milepost direction,1.23,U1,Urban,SE,Moving Straight,Entering major roadway from the left,REAR END COLLISIONS,SE,Stopped in Traffic - Legally Standing,Entering major roadway from the left,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Divided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,10,CURB,46,0,,0,,30,Asphalt,32000,Y,Motor Vehicle Driver,92.0,Male,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,Motor Vehicle Passenger,4.0,Female,Child Restraint Forward Facing,None,None,None,None,"Vanette Under 10,000 lb",Stopped at Signal or Stop Sign,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,45.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3836972,No,King,Seattle,2,2022,November,4,1500,0,ZERO,0,2,099 route increasing milepost direction,0.08,U1,Urban,SE,Moving Straight,Increasing milepost,REAR END COLLISIONS,SE,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Freeways Less than 4 Lanes,Seattle,,1,0,,19,0,,0,,0,Asphalt,0,N,Motor Vehicle Driver,38.0,Male,Lap & Shoulder Used,None,DRE Requested and Assisted,Exceeding Reas. Safe Speed,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,None,None,Lap & Shoulder Used,None,DRE Requested and Assisted,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,49.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3850532,No,Skagit,Mount Vernon,6,2022,November,1,1800,0,ONE,0,2,538 route increasing milepost direction,2.8,U2,Urban,N,Turning Left,Entering major roadway from the right,ANGLE IMPACTS_RIGHT,W,Moving Straight,Decreasing milepost,POSSIBLE INJURY,,,At Driveway,Wet,Dark-No Street Lights,,,0,Urban 2 Lane Roads,Mount Vernon,Non Limited Access More Than Average Restriction,2,0,,34,0,,0,,45,Asphalt,8800,N,Motor Vehicle Passenger,58.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Making Left Turn,None,None,None,None,None,None,None,Motor Vehicle Driver,61.0,Female,Lap Belt Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,None,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,72.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3851000,No,Skagit,Mount Vernon,14,2022,November,2,800,0,ZERO,0,2,538 route increasing milepost direction,1.03,U2,Urban,E,Moving Straight,Increasing milepost,REAR END COLLISIONS,E,Stopped in Traffic - Legally Standing,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Mount Vernon,Non Limited Access Less Restrictive,4,0,,60,0,,0,,35,Asphalt,21000,N,Motor Vehicle Driver,26.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Follow Too Closely,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,21.0,Male,Lap & Shoulder Used,None,None,None,None,None,Stopped at Signal or Stop Sign,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,60.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3880298,No,Okanogan,Omak,2,2022,November,4,1400,0,ZERO,0,2,215 route increasing milepost direction,5.89,U2,Urban,W,Stopped in Traffic - Legally Standing,Decreasing milepost,REAR END COLLISIONS,W,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,28,0,,0,C,35,Asphalt,11000,N,Motor Vehicle Driver,71.0,Male,Lap & Shoulder Used,None,None,Distractions Outside Vehicle,None,None,Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,73.0,Female,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,22.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3880299,No,Okanogan,Omak,8,2022,November,3,800,0,TWO,0,2,215 route increasing milepost direction,5.88,U2,Urban,S,Stopped in Traffic - Legally Standing,Entering major roadway from the left,REAR END COLLISIONS,S,Moving Straight,Entering major roadway from the left,POSSIBLE INJURY,,,At Intersection and Related,Ice,Daylight,School Zone,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,28,0,,0,C,35,Asphalt,11000,N,Motor Vehicle Driver,36.0,Male,Lap & Shoulder Used,None,None,None,None,None,Stopped at Signal or Stop Sign,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,21.0,Male,Unknown,None,None,Follow Too Closely,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,43.0,Male,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3880300,No,Okanogan,Omak,17,2022,November,5,1700,0,ZERO,0,2,215 route increasing milepost direction,5.06,U2,Urban,N,Change Lanes to Left,Increasing milepost,SIDESWIPES_RIGHT,N,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Wet,Daylight,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,56,0,,0,,25,Asphalt,10000,N,Motor Vehicle Driver,75.0,Male,Lap & Shoulder Used,None,None,Improper Turn/Merge,Did Not Grant RW to Vehicle,None,Starting From Parked Position,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,68.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3880303,No,Okanogan,Omak,22,2022,November,3,1500,0,ZERO,0,2,215 route increasing milepost direction,6.0,U2,Urban,E,Moving Straight,Increasing milepost,ANGLE IMPACTS_LEFT,N,Moving Straight,Entering major roadway from the right,NO APPARENT INJURY,,,At Intersection and Related,Snow/Slush,Daylight,,,0,Urban 2 Lane Roads,Omak,Non Limited Access Least Restrictive,2,0,,28,0,,0,C,35,Asphalt,11000,N,Motor Vehicle Driver,21.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,45.0,Male,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3891698,No,Pend Oreille,Newport,10,2022,November,5,1300,0,TWO,0,2,002 route increasing milepost direction,0.4,R1,Rural,S,Change Lanes to Left,Increasing milepost,SIDESWIPES_RIGHT,S,Moving Straight,Increasing milepost,POSSIBLE INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Rural 2 Lane Roads,Newport,Non Limited Access Least Restrictive,2,0,,42,0,,0,R,25,Asphalt,5000,N,Motor Vehicle Driver,27.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Improper Turn/Merge,None,"Vanette Under 10,000 lb",Changing Lanes,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,19.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,20.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
