,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3842184,No,Whatcom,Bellingham,24,2022,October,2,800,0,TWO,0,2,542 route increasing milepost direction,0.32,U2,Urban,W,Moving Straight,Decreasing milepost,REAR END COLLISIONS,W,Stopped in Traffic - Legally Standing,Decreasing milepost,POSSIBLE INJURY,,,At Intersection and Not Related,Wet,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Bellingham,Non Limited Access Average Restriction,4,0,,64,0,,0,R,35,Asphalt,35000,N,Motor Vehicle Driver,None,None,Unknown,None,None,Improper U-Turn,Follow Too Closely,None,Going Straight Ahead,None,None,None,None,None,Unknown,Unknown if Ejected,Motor Vehicle Passenger,70.0,Female,No Restraints Used,None,None,None,None,None,Stopped for Traffic,None,None,None,None,None,None,None,Motor Vehicle Driver,63.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3843546,No,Clark,La Center,20,2022,October,5,1300,0,ONE,0,2,005 route increasing milepost direction,0.16,R3,Rural,W,Moving Straight,Decreasing milepost,SIDESWIPES_LEFT,W,Moving Straight,Decreasing milepost,POSSIBLE INJURY,,,Circulating Roundabout,Dry,Daylight,,,0,Other,La Center,,3,15,CURB,45,0,,0,,0,Portland Concrete Cement,0,Y,Motor Vehicle Driver,72.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Other Contributing Circ Not Listed,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,47.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Other Contributing Circ Not Listed,None,Dump Truck,Going Straight Ahead,No Defects,None,None,Interstate,8.0,Not Airbag Equipped,Not Ejected,Motor Vehicle Passenger,68.0,Female,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3859014,No,King,,24,2022,October,2,1800,0,ZERO,0,2,203 route increasing milepost direction,12.69,R2,Rural,E,Turning Left,Entering major roadway from the left,ANGLE IMPACTS_LEFT,N,Moving Straight,Increasing milepost,NO APPARENT INJURY,,,Circulating Roundabout,Wet,Dark-No Street Lights,,,0,Rural Multilane Undivided Non-Freeway,,Non Limited Access More Than Average Restriction,4,0,,48,0,,0,,50,Asphalt,13000,N,Motor Vehicle Passenger,2.0,Male,Child Restraint Forward Facing,None,None,None,None,None,Making Left Turn,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,21.0,Female,Unknown,None,None,None,None,None,Going Straight Ahead,No Defects,None,None,Interstate,5.0,None,None,Motor Vehicle Driver,36.0,Male,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3859015,No,King,Bothell,29,2022,October,7,1500,0,ONE,0,3,405 route increasing milepost direction,23.61,U5,Urban,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Moving Straight,Decreasing milepost,POSSIBLE INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban Freeways,Bothell,Limited Access Fully Controlled,4,16,,52,0,Curb,0,RC,60,Portland Concrete Cement,108000,Y,Motor Vehicle Driver,64.0,Male,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,Motor Vehicle Driver,53.0,Male,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Slowing,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,61.0,Male,Unknown,None,None,None,None,"Vanette Under 10,000 lb",Slowing,No Defects,None,None,None,None,None,None
3876103,No,Chelan,Wenatchee,29,2022,October,7,1000,0,ZERO,0,2,285 route increasing milepost direction,1.04,U1,Urban,SE,Moving Straight,Increasing milepost,REAR END COLLISIONS,SE,Turning Left,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Wenatchee,Non Limited Access Least Restrictive,3,0,,48,0,,0,,30,Asphalt,14000,N,Motor Vehicle Driver,36.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,41.0,Female,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3878197,No,Kittitas,Cle Elum,18,2022,October,3,1500,0,ZERO,0,2,903 route increasing milepost direction,1.92,R3,Rural,E,Moving Straight,Decreasing milepost,REAR END COLLISIONS,E,Stopped in Traffic - Legally Standing,Decreasing milepost,NO APPARENT INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,,,0,Rural 2 Lane Roads,Cle Elum,Non Limited Access Least Restrictive,2,0,,76,0,,0,,25,Asphalt,7700,N,Motor Vehicle Driver,25.0,Female,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,47.0,Female,Lap & Shoulder Used,None,None,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3894866,No,King,Seattle,13,2022,October,5,1500,0,ZERO,0,2,513 route increasing milepost direction,2.04,U1,Urban,SW,Change Lanes to Left,Decreasing milepost,SIDESWIPES_RIGHT,SW,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,Linear Curb,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban Multilane Divided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,14,CURB,68,0,,0,,30,Portland Concrete Cement,20000,Y,Motor Vehicle Driver,35.0,Male,Lap & Shoulder Used,None,DRE Requested and Assisted,Did Not Grant RW to Vehicle,None,"Vanette Under 10,000 lb",Changing Lanes,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,17.0,Male,Lap & Shoulder Used,None,DRE Requested and Assisted,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3894879,No,King,Seattle,1,2022,October,7,2000,0,ZERO,0,2,522 route increasing milepost direction,2.66,U1,Urban,NE,Turning Left,Increasing milepost,ANGLE IMPACTS_RIGHT,SW,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,R,35,Asphalt,36000,N,Motor Vehicle Driver,45.0,Female,Shoulder Belt Used,Helmet Not Used,None,Improper Turn/Merge,None,None,Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,57.0,Female,Shoulder Belt Used,Helmet Not Used,None,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,29.0,Female,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3894959,No,King,Seattle,26,2022,October,4,700,0,ZERO,0,2,522 route increasing milepost direction,1.44,U1,Urban,N,Moving Straight,Increasing milepost,ANIMAL COLLISIONS,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,53,0,,0,C,35,Asphalt,33000,N,Motor Vehicle Driver,27.0,Male,Unknown,None,DRE Not Requested,Under Influence of Alcohol,None,None,Going Straight Ahead,No Defects,None,None,None,None,Front Airbag Deployed,Not Ejected,Motor Vehicle Driver,None,None,None,None,None,None,None,None,"Legally Parked, Unoccupied",No Defects,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3902294,No,King,Seattle,4,2022,October,3,1600,0,ONE,0,2,090 route increasing milepost direction,0.2,U1,Urban,S,Moving Straight,Increasing milepost,REAR END COLLISIONS,S,Stopped in Traffic - Legally Standing,Increasing milepost,MINOR INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,Underpass or Tunnel,,0,Other,Seattle,,4,0,,49,0,,0,R,0,Asphalt,0,N,Motor Vehicle Driver,18.0,Male,Shoulder Belt Used,Helmet Not Used,DRE Not Requested,Under Influence of Drugs,Follow Too Closely,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,45.0,Male,Shoulder Belt Used,Helmet Not Used,DRE Not Requested,None,None,None,Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3903255,No,Chelan,Chelan,31,2022,October,2,1800,0,ONE,1,1,097 route increasing milepost direction,34.46,U2,Urban,W,Moving Straight,Decreasing milepost,PEDESTRIAN COLLISIONS,E,Moving Straight,Unknown or Not Applicable,MINOR INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Chelan,Non Limited Access Least Restrictive,4,0,,72,0,,0,,30,Asphalt,11000,N,Motor Vehicle Driver,73.0,Female,Lap & Shoulder Used,None,DRE Not Requested,None,None,"Vanette Under 10,000 lb",Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Pedestrian,12.0,Male,None,None,DRE Not Requested,Failure to Use Xwalk,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3906295,No,King,Seattle,20,2022,October,5,1900,0,ONE,1,1,523 route increasing milepost direction,2.39,U1,Urban,W,Turning Left,Decreasing milepost,PEDESTRIAN COLLISIONS,W,Moving Straight,Unknown or Not Applicable,SERIOUS INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,44,0,,0,,30,Asphalt,22000,N,Motor Vehicle Driver,34.0,Female,Lap & Shoulder Used,None,DRE Requested and Assisted,Did Not Grant R/W to Non Motorist,None,None,Making Left Turn,No Defects,None,None,None,None,Not Deployed,Not Ejected,Pedestrian,68.0,Female,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
