,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3
3862601,No,Yakima,Yakima,7,2022,September,4,1400,0,ONE,0,3,082 route increasing milepost direction,0.06,U5,Urban,SE,Moving Straight,Increasing milepost,REAR END COLLISIONS,SE,Moving Straight,Increasing milepost,POSSIBLE INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,Within WorkZone,0,Urban Freeways Less than 4 Lanes,Yakima,,2,0,,24,8,,0,,0,Asphalt,0,N,Motor Vehicle Driver,34.0,Male,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,20.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Slowing,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,75.0,Female,Lap & Shoulder Used,None,None,None,None,None,Slowing,None,None,None,None,None,Not Deployed,Not Ejected
3873558,No,Pacific,South Bend,25,2022,September,1,500,0,ONE,0,1,101 route increasing milepost direction,54.85,R1,Rural,SW,Moving Straight,Decreasing milepost,OFF ROAD,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,POSSIBLE INJURY,Roadway Ditch,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,Other,,0,Rural 2 Lane Roads,South Bend,Non Limited Access Less Restrictive,2,0,,24,9,,0,,40,Asphalt,7300,N,Motor Vehicle Driver,23.0,Male,Lap & Shoulder Used,Other,None,Apparently Asleep or Fatigued,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3893921,No,King,Seattle,3,2022,September,7,1600,0,ZERO,0,2,522 route increasing milepost direction,3.48,U1,Urban,S,Moving Straight,Decreasing milepost,REAR END COLLISIONS,S,Stopped in Traffic - Legally Standing,Decreasing milepost,NO APPARENT INJURY,,,Intersection Related but Not at Intersection,Dry,Daylight,,,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,57,0,,0,R,35,Asphalt,35000,N,Motor Vehicle Driver,None,Female,Unknown,None,DRE Requested and Assisted,Under Influence of Alcohol,None,"Vanette Under 10,000 lb",Going Straight Ahead,None,None,None,None,None,None,None,Motor Vehicle Passenger,None,Male,Unknown,None,DRE Requested and Assisted,None,None,"Vanette Under 10,000 lb",Stopped for Traffic,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,42.0,Male,Lap & Shoulder Used,None,None,None,None,None,None,None,None,None,None,None,None,None
3895945,No,King,Seattle,5,2022,September,2,1800,0,ONE,1,1,519 route increasing milepost direction,0.18,U1,Urban,W,Change Lanes to Left,Increasing milepost,PEDESTRIAN COLLISIONS,W,Unknown or Not Applicable,Unknown or Not Applicable,SERIOUS INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Limited Access Modified Controlled,4,0,,64,0,,0,,30,Portland Concrete Cement,28000,N,Motor Vehicle Passenger,17.0,Male,Unknown,None,None,None,None,None,Changing Lanes,No Defects,None,None,None,None,None,None,Motor Vehicle Driver,16.0,Male,Unknown,None,DRE Not Requested,Unknown Distraction,None,None,None,None,None,None,None,None,None,None,Motor Vehicle Passenger,16.0,Male,Unknown,None,None,None,None,None,None,None,None,None,None,None,None,None
3897954,No,King,Seattle,19,2022,September,2,100,0,ONE,1,1,522 route increasing milepost direction,3.75,U1,Urban,S,Moving Straight,Decreasing milepost,PEDESTRIAN COLLISIONS,W,Moving Straight,Unknown or Not Applicable,SERIOUS INJURY,,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,,,0,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,49,0,,0,C,35,Asphalt,35000,N,Motor Vehicle Driver,54.0,Male,Lap & Shoulder Used,None,DRE Not Requested,None,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Pedestrian,59.0,Male,None,None,None,Failure to Use Xwalk,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3897955,No,King,Seattle,16,2022,September,6,2300,0,ONE,0,1,522 route increasing milepost direction,0.6000000000000001,U1,Urban,SW,Moving Straight,Decreasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,SERIOUS INJURY,Utility Pole,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,,,1,Urban Multilane Undivided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,0,,40,0,,0,,35,Asphalt,33000,N,Motor Vehicle Driver,27.0,Female,Lap & Shoulder Used,None,None,Under Influence of Alcohol,None,None,Going Straight Ahead,No Defects,None,None,None,None,Combination of Airbag Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898173,No,King,Seattle,17,2022,September,7,2100,0,ZERO,0,2,513 route increasing milepost direction,1.17,U1,Urban,NW,Turning Left,Entering major roadway from the right,SIDESWIPES_LEFT,NW,Moving Straight,Entering major roadway from the right,NO APPARENT INJURY,,,At Intersection and Related,Dry,Dark-Street Lights On,Parking Lot,,0,Urban Multilane Divided Non-Freeway,Seattle,Non Limited Access Average Restriction,4,10,CURB,46,0,,0,,30,Asphalt,32000,Y,Motor Vehicle Driver,51.0,Male,Lap & Shoulder Used,Helmet Not Used,None,Did Not Grant RW to Vehicle,None,None,Overtaking and Passing,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Passenger,45.0,Male,Lap & Shoulder Used,Helmet Not Used,None,None,None,"Vanette Under 10,000 lb",Going Straight Ahead,No Defects,None,None,None,None,None,None,Motor Vehicle Passenger,18.0,Male,Lap & Shoulder Used,Helmet Not Used,None,None,None,None,None,None,None,None,None,None,None,None
3898261,No,King,Seattle,24,2022,September,7,1300,0,ZERO,0,2,522 route increasing milepost direction,3.22,U1,Urban,S,Change Lanes to Left,Decreasing milepost,SIDESWIPES_RIGHT,S,Moving Straight,Decreasing milepost,NO APPARENT INJURY,,,Not at Intersection and Not Related,Dry,Daylight,,,1,Urban Multilane Divided Non-Freeway,Seattle,Non Limited Access Less Restrictive,4,10,CURB,64,0,,0,,25,Asphalt,35000,Y,Motor Vehicle Driver,75.0,Male,Lap & Shoulder Used,None,DRE Not Requested,Did Not Grant RW to Vehicle,None,None,Merging (Entering Traffic),No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,40.0,Male,Lap & Shoulder Used,None,"DRE Requested, Not Available",Under Influence of Alcohol,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3898322,No,King,Seattle,17,2022,September,7,200,0,ZERO,0,1,513 route increasing milepost direction,1.09,U1,Urban,NE,Moving Straight,Increasing milepost,SINGLE VEHICLE WITH OBJECT,Unknown or Not Applicable,Unknown or Not Applicable,Unknown or Not Applicable,NO APPARENT INJURY,Street Light Pole or Base,,Not at Intersection and Not Related,Dry,Dark-Street Lights On,Other,,1,Urban Multilane Divided Non-Freeway,Seattle,Non Limited Access More Than Average Restriction,4,10,CURB,46,0,,0,,30,Asphalt,41000,Y,Motor Vehicle Driver,28.0,Male,Lap & Shoulder Used,Helmet Not Used,DRE Not Requested,Under Influence of Alcohol,None,None,Going Straight Ahead,None,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3899037,No,Clallam,Port Angeles,12,2022,September,2,1600,0,ZERO,0,2,101 route increasing milepost direction,246.68,U1,Urban,NE,Moving Straight,Increasing milepost,REAR END COLLISIONS,NE,Illegally Parked in Road or Stopped in Roadway,Increasing milepost,NO APPARENT INJURY,,,At Intersection and Related,Dry,Daylight,,,0,Urban 2 Lane Roads,Port Angeles,Non Limited Access Less Restrictive,2,0,,42,0,,0,,25,Asphalt,7800,N,Motor Vehicle Driver,36.0,Male,Lap & Shoulder Used,None,None,Follow Too Closely,None,None,Going Straight Ahead,No Defects,None,None,None,None,Not Deployed,Not Ejected,Motor Vehicle Driver,53.0,Female,Lap & Shoulder Used,None,None,None,None,"Vanette Under 10,000 lb",Stopped in Roadway,No Defects,None,None,None,None,Not Deployed,Not Ejected,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
